cell,low_b0,high_b0,b2,chip_atten,ours_atten,spec_atten,chip_residual,ours_residual
81,8,96,8,0.2872472783825817,0.1833280607402722,0.28763674402121386,-0.0003894656386321804,-0.10430868328094167
82,8,100,8,0.30653188180404356,0.18079721607086374,0.2900794580725423,0.016452423731501242,-0.10928224200167858
83,8,104,8,0.32799377916018657,0.17889908256880738,0.2968103362162523,0.03118344294393427,-0.11791125364744492
84,8,108,8,0.3334370139968895,0.17652641569123695,0.3034642934930697,0.029972720503819827,-0.12693787780183274
85,8,112,8,0.3144634525660964,0.16814299272382172,0.3086583981971607,0.005805054368935747,-0.14051540547333896
86,8,116,8,0.3082426127527216,0.15817779183802594,0.29997291449287355,0.008269698259848024,-0.14179512265484762
88,12,16,8,-0.0181818181818183,0.04272434751519483,0.0,-0.0181818181818183,0.04272434751519483
89,12,20,8,0.09108734402852059,0.11816231676796562,0.0949860805988253,-0.003898736570304706,0.02317623616914033
90,12,24,8,0.13030303030303036,0.09134787272077216,0.12074077030054642,0.009562260002483947,-0.029392897579774258
91,12,28,8,0.13422459893048133,0.03378619949946371,0.0479089316957676,0.08631566723471373,-0.014122732196303889
92,12,32,8,0.16149732620320856,0.05863425098319619,0.07303311370629428,0.08846421249691427,-0.014398862723098094
93,12,36,8,0.14563279857397504,0.0809796210225241,0.11463671302098188,0.030996085552993158,-0.03365709199845779
94,12,40,8,0.15811051693404632,0.07329281372899532,0.10551787057253792,0.0525926463615084,-0.0322250568435426
95,12,44,8,0.05828877005347599,0.09831962817304252,0.09090410647093783,-0.03261533641746184,0.007415521702104688
96,12,48,8,0.034224598930481354,0.08223096174472655,0.056316996329514146,-0.022092397399032793,0.025913965415212403
97,12,52,8,0.059893048128342286,0.10100107257776192,0.08971019007678183,-0.02981714194843954,0.011290882500980093
98,12,56,8,0.06755793226381457,0.1088666428316053,0.12953192088333743,-0.06197398861952286,-0.020665278051732128
99,12,60,8,0.05508021390374329,0.10529138362531276,0.11030665787613303,-0.05522644397238974,-0.0050152742508202675
100,12,64,8,0.06613190730837792,0.09420808008580617,0.11138229430073232,-0.0452503869923544,-0.017174214214926153
101,12,68,8,0.10516934046345816,0.10725777618877375,0.12758338683322656,-0.022414046369768403,-0.02032561064445282
102,12,72,8,0.10445632798573978,0.10207365033964955,0.14039561372569953,-0.03593928573995975,-0.038321963386049984
103,12,76,8,0.25347593582887695,0.09867715409367173,0.11316199495910839,0.14031394086976856,-0.014484840865436666
104,12,80,8,0.27486631016042784,0.13353593135502317,0.13590992162507698,0.13895638853535086,-0.002373990270053805
105,12,84,8,0.22335115864527633,0.13836253128351805,0.09994447403546058,0.12340668460981574,0.03841805724805747
106,12,88,8,0.2540106951871658,0.20557740436181626,0.1390545701670879,0.1149561250200779,0.06652283419472838
107,12,92,8,0.22941176470588232,0.2518770110833035,0.12240298240925807,0.10700878229662425,0.12947402867404545
108,12,96,8,0.220855614973262,0.27279227744011436,0.1344673155529792,0.08638829942028281,0.13832496188713517
109,12,100,8,0.22495543672014262,0.2883446549874865,0.14133349892731029,0.08362193779283233,0.14701115606017623
