cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
529,8,28,20,10,14,4,0.072828,0.810830,7245.0,3340.1,7964.0,4132.3,0.8083,0.9097,4753.6,4668.8
530,8,32,20,10,15,5,0.085319,0.807358,6996.0,3289.9,7964.0,4001.4,0.8222,0.8785,4753.6,4668.8
531,8,36,20,10,16,6,0.096729,0.762107,6919.0,2980.4,7964.0,3990.0,0.7470,0.8688,4753.6,4668.8
532,8,40,20,10,17,7,0.107467,0.756477,7411.0,3470.2,7964.0,4031.9,0.8607,0.9306,4753.6,4668.8
533,8,44,20,10,18,8,0.117565,0.622408,7462.0,3519.6,7964.0,3968.9,0.8868,0.9370,4753.6,4668.8
534,8,48,20,10,19,9,0.127071,0.620426,8084.0,3770.8,8808.0,3993.6,0.9442,0.9178,4753.6,4668.8
535,8,52,20,10,20,10,0.135999,0.618030,8146.0,3767.3,7964.0,4074.8,0.9246,1.0229,4753.6,4668.8
536,8,56,20,10,21,11,0.144425,0.616308,8000.0,3706.7,7964.0,3976.9,0.9320,1.0045,4753.6,4668.8
537,8,60,20,10,23,13,0.152323,0.504317,9133.0,3851.1,9095.0,4139.5,0.9303,1.0042,4753.6,4668.8
538,8,64,20,10,24,14,0.159725,0.500889,9982.0,3974.0,7964.0,4064.8,0.9777,1.2534,4753.6,4668.8
539,8,68,20,10,26,16,0.166693,0.489775,10584.0,3852.9,8045.0,4104.9,0.9386,1.3156,4753.6,4668.8
540,8,72,20,10,27,17,0.173221,0.486887,8294.0,3347.1,8690.0,4094.5,0.8174,0.9544,4753.6,4668.8
541,8,76,20,10,29,19,0.179322,0.432572,7608.0,3157.9,7964.0,4073.6,0.7752,0.9553,4753.6,4668.8
542,8,80,20,10,31,21,0.185385,0.405825,8443.0,3064.1,8270.0,3962.0,0.7734,1.0209,4753.6,4668.8
543,8,84,20,10,33,23,0.190877,0.373466,8024.0,3056.2,7988.0,3990.7,0.7658,1.0045,4753.6,4668.8
544,8,88,20,10,35,25,0.196042,0.356663,8693.0,3166.9,8626.0,3814.7,0.8302,1.0078,4753.6,4668.8
545,8,92,20,10,37,27,0.200892,0.327502,8228.0,3156.4,8286.0,3863.5,0.8170,0.9930,4753.6,4668.8
546,8,96,20,10,40,30,0.205447,0.313060,9029.0,3367.9,7964.0,3807.3,0.8846,1.1337,4753.6,4668.8
547,8,100,20,10,42,32,0.209739,0.311407,9453.0,3292.9,8261.0,3812.7,0.8637,1.1443,4753.6,4668.8
548,8,104,20,10,45,35,0.213779,0.290978,8957.0,3151.3,8273.0,3812.4,0.8266,1.0827,4753.6,4668.8
549,8,108,20,10,48,38,0.217561,0.266744,9252.0,3149.9,8055.0,3810.8,0.8266,1.1486,4753.6,4668.8
550,8,112,20,10,51,41,0.221124,0.257332,10009.0,3260.9,9156.0,3859.9,0.8448,1.0932,4753.6,4668.8
551,8,116,20,10,54,44,0.224467,0.254572,9903.0,3291.1,8856.0,3886.0,0.8469,1.1182,4753.6,4668.8
552,12,12,20,11,11,0,0.000000,1.000000,7572.0,4218.2,8604.0,4045.4,1.0427,0.8801,4150.1,4144.6
553,12,16,20,11,11,0,0.015463,1.000000,7683.0,4181.9,8720.0,3946.1,1.0597,0.8811,4150.1,4144.6
554,12,20,20,11,12,1,0.029971,0.995544,7268.0,3711.6,8604.0,3638.8,1.0200,0.8447,4150.1,4144.6
555,12,24,20,11,13,2,0.043586,0.912477,7795.0,3547.1,8604.0,3760.0,0.9434,0.9060,4150.1,4144.6
556,12,28,20,11,14,3,0.056385,0.908050,7989.0,3511.1,8604.0,4011.4,0.8753,0.9285,4150.1,4144.6
557,12,32,20,11,15,4,0.068876,0.904526,7815.0,3363.6,8634.0,3901.7,0.8621,0.9051,4150.1,4144.6
558,12,36,20,11,16,5,0.080286,0.856708,8529.0,3416.9,8604.0,3702.2,0.9229,0.9913,4150.1,4144.6
559,12,40,20,11,17,6,0.091024,0.855026,8454.0,3349.0,8604.0,3750.8,0.8929,0.9826,4150.1,4144.6
560,12,44,20,11,18,7,0.101122,0.704397,9356.0,3800.8,8604.0,3712.9,1.0237,1.0874,4150.1,4144.6
561,12,48,20,11,19,8,0.110628,0.702155,9608.0,3904.3,9647.0,3809.9,1.0248,0.9960,4150.1,4144.6
562,12,52,20,11,20,9,0.119556,0.698991,8952.0,3777.2,8604.0,3706.2,1.0192,1.0404,4150.1,4144.6
563,12,56,20,11,21,10,0.127982,0.672783,9391.0,3750.9,8604.0,3704.4,1.0126,1.0915,4150.1,4144.6
